index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
52,", \w μετὰ|lemma=""μετά"" strong=""G33260"" x-morph=""Gr,P,,,,,G,,,""",1,4, μετὰ,", ","Gr,P,,,,,G,,,",μετά,G33260,False,G33260,,52,1,1,51-PHP
53," \w χαρᾶς|lemma=""χαρά"" strong=""G54790"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/joy""",1,4, χαρᾶς,,"Gr,N,,,,,GFS,",χαρά,G54790,False,G54790,rc://*/tw/dict/bible/other/joy,53,1,1,51-PHP
54," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,4, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,54,1,1,51-PHP
55," \w δέησιν|lemma=""δέησις"" strong=""G11620"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/pray""",1,4, δέησιν,,"Gr,N,,,,,AFS,",δέησις,G11620,False,G11620,rc://*/tw/dict/bible/kt/pray,55,1,1,51-PHP
56," \w ποιούμενος|lemma=""ποιέω"" strong=""G41600"" x-morph=""Gr,V,PPM,NMS,""",1,4, ποιούμενος,,"Gr,V,PPM,NMS,",ποιέω,G41600,False,G41600,,56,1,1,51-PHP
58,"\w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,D,,,""",1,5, ἐπὶ,,"Gr,P,,,,,D,,,",ἐπί,G19090,False,G19090,,58,1,1,51-PHP
59," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,5, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,59,1,1,51-PHP
60," \w κοινωνίᾳ|lemma=""κοινωνία"" strong=""G28420"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/fellowship""",1,5, κοινωνίᾳ,,"Gr,N,,,,,DFS,",κοινωνία,G28420,False,G28420,rc://*/tw/dict/bible/kt/fellowship,60,1,1,51-PHP
61," \w ὑμῶν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,P,""",1,5, ὑμῶν,,"Gr,RP,,,2G,P,",σύ,G47710,False,G47710,,61,1,1,51-PHP
62," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,5, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,62,1,1,51-PHP
63," \w τὸ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,ANS,""",1,5, τὸ,,"Gr,EA,,,,ANS,",ὁ,G35880,False,G35880,,63,1,1,51-PHP
64," \w εὐαγγέλιον|lemma=""εὐαγγέλιον"" strong=""G20980"" x-morph=""Gr,N,,,,,ANS,"" x-tw=""rc://*/tw/dict/bible/kt/goodnews""",1,5, εὐαγγέλιον,,"Gr,N,,,,,ANS,",εὐαγγέλιον,G20980,False,G20980,rc://*/tw/dict/bible/kt/goodnews,64,1,1,51-PHP
65,", \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,5, ἀπὸ,", ","Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,65,1,1,51-PHP
66," \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFS,""",1,5, τῆς,,"Gr,EA,,,,GFS,",ὁ,G35880,False,G35880,,66,1,1,51-PHP
