index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
95," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,5, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,95,2,1,48-2CO
96," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,5, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,96,1,1,48-2CO
97," \w ἡμᾶς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,P,""",1,5, ἡμᾶς,,"Gr,RP,,,1A,P,",ἐγώ,G14730,False,G14730,,97,1,1,48-2CO
98,", \w οὕτως|lemma=""οὕτως"" strong=""G37790"" x-morph=""Gr,D,,,,,,,,,""",1,5, οὕτως,", ","Gr,D,,,,,,,,,",οὕτως,G37790,False,G37790,,98,1,1,48-2CO
99," \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,5, διὰ,,"Gr,P,,,,,G,,,",διά,G12230,False,G12230,,99,1,1,48-2CO
100," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,5, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,100,2,2,48-2CO
101," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,5, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,101,2,2,48-2CO
102," \w περισσεύει|lemma=""περισσεύω"" strong=""G40520"" x-morph=""Gr,V,IPA3,,S,"" x-tw=""rc://*/tw/dict/bible/other/multiply""",1,5, περισσεύει,,"Gr,V,IPA3,,S,",περισσεύω,G40520,False,G40520,rc://*/tw/dict/bible/other/multiply,102,2,2,48-2CO
103," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",1,5, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,103,1,1,48-2CO
104," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,5, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,104,1,1,48-2CO
105," \w παράκλησις|lemma=""παράκλησις"" strong=""G38740"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/comfort""",1,5, παράκλησις,,"Gr,N,,,,,NFS,",παράκλησις,G38740,False,G38740,rc://*/tw/dict/bible/other/comfort,105,1,1,48-2CO
106," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,5, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,106,1,1,48-2CO
108,"\w εἴτε|lemma=""εἴτε"" strong=""G15350"" x-morph=""Gr,DO,,,,,,,,""",1,6, εἴτε,,"Gr,DO,,,,,,,,",εἴτε,G15350,False,G15350,,108,2,1,48-2CO
