index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
66," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,4, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,66,1,1,49-GAL
67," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,4, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,67,1,1,49-GAL
68," \k-e\* \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,4, ἡμῶν,\k-e\* ,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,68,2,2,49-GAL
70,"\w ᾧ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,DMS,""",1,5, ᾧ,,"Gr,RR,,,,DMS,",ὅς,G37390,False,G37390,,70,1,1,49-GAL
71," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,5, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,71,1,1,49-GAL
72," \w δόξα|lemma=""δόξα"" strong=""G13910"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/glory""",1,5, δόξα,,"Gr,N,,,,,NFS,",δόξα,G13910,False,G13910,rc://*/tw/dict/bible/kt/glory,72,1,1,49-GAL
73," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,5, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,73,1,1,49-GAL
74," \w τοὺς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMP,""",1,5, τοὺς,,"Gr,EA,,,,AMP,",ὁ,G35880,False,G35880,,74,1,1,49-GAL
75," \w αἰῶνας|lemma=""αἰών"" strong=""G01650"" x-morph=""Gr,N,,,,,AMP,"" x-tw=""rc://*/tw/dict/bible/other/age""",1,5, αἰῶνας,,"Gr,N,,,,,AMP,",αἰών,G01650,False,G01650,rc://*/tw/dict/bible/other/age,75,1,1,49-GAL
76," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMP,""",1,5, τῶν,,"Gr,EA,,,,GMP,",ὁ,G35880,False,G35880,,76,1,1,49-GAL
77," \w αἰώνων|lemma=""αἰών"" strong=""G01650"" x-morph=""Gr,N,,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/other/age""",1,5, αἰώνων,,"Gr,N,,,,,GMP,",αἰών,G01650,False,G01650,rc://*/tw/dict/bible/other/age,77,1,1,49-GAL
78,". \w ἀμήν|lemma=""ἀμήν"" strong=""G02810"" x-morph=""Gr,IE,,,,,,,,"" x-tw=""rc://*/tw/dict/bible/kt/amen""",1,5, ἀμήν,. ,"Gr,IE,,,,,,,,",ἀμήν,G02810,False,G02810,rc://*/tw/dict/bible/kt/amen,78,1,1,49-GAL
80,"\w θαυμάζω|lemma=""θαυμάζω"" strong=""G22960"" x-morph=""Gr,V,IPA1,,S,"" x-tw=""rc://*/tw/dict/bible/other/amazed""",1,6, θαυμάζω,,"Gr,V,IPA1,,S,",θαυμάζω,G22960,False,G22960,rc://*/tw/dict/bible/other/amazed,80,1,1,49-GAL
81," \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",1,6, ὅτι,,"Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,81,1,1,49-GAL
82," \w οὕτως|lemma=""οὕτως"" strong=""G37790"" x-morph=""Gr,D,,,,,,,,,""",1,6, οὕτως,,"Gr,D,,,,,,,,,",οὕτως,G37790,False,G37790,,82,1,1,49-GAL
83," \w ταχέως|lemma=""ταχέως"" strong=""G50300"" x-morph=""Gr,D,,,,,,,,,""",1,6, ταχέως,,"Gr,D,,,,,,,,,",ταχέως,G50300,False,G50300,,83,1,1,49-GAL
84,", \w μετατίθεσθε|lemma=""μετατίθημι"" strong=""G33460"" x-morph=""Gr,V,IPM2,,P,""",1,6, μετατίθεσθε,", ","Gr,V,IPM2,,P,",μετατίθημι,G33460,False,G33460,,84,1,1,49-GAL
85," \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,6, ἀπὸ,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,85,1,1,49-GAL
86," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,GMS,""",1,6, τοῦ,,"Gr,RD,,,,GMS,",ὁ,G35880,False,G35880,,86,1,1,49-GAL
87," \w καλέσαντος|lemma=""καλέω"" strong=""G25640"" x-morph=""Gr,V,PAA,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/call""",1,6, καλέσαντος,,"Gr,V,PAA,GMS,",καλέω,G25640,False,G25640,rc://*/tw/dict/bible/kt/call,87,1,1,49-GAL
88," \w ὑμᾶς|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2A,P,""",1,6, ὑμᾶς,,"Gr,RP,,,2A,P,",σύ,G47710,False,G47710,,88,1,1,49-GAL
89," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,6, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,89,1,1,49-GAL
90," \w χάριτι|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,6, χάριτι,,"Gr,N,,,,,DFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,90,1,1,49-GAL
91," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,6, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,91,1,1,49-GAL
