index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
17921," \w מֵ⁠עוֹלָ֥ם|lemma=""עוֹלָם"" strong=""m:H5769"" x-morph=""He,R:Ncmsa""",119,52, מֵ⁠עוֹלָ֥ם,,"He,R:Ncmsa",עוֹלָם,m:H5769,True,H5769,,17921,1,1,19-PSA
17922," ׀ \w יְהוָ֗ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",119,52, יְהוָ֗ה,׀ ,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,17922,1,1,19-PSA
17923," \w וָֽ⁠אֶתְנֶחָֽם|lemma=""נָחַם"" strong=""c:H5162"" x-morph=""He,C:Vtw1cs""",119,52, וָֽ⁠אֶתְנֶחָֽם,,"He,C:Vtw1cs",נָחַם,c:H5162,True,H5162,,17923,1,1,19-PSA
17925,"\w זַלְעָפָ֣ה|lemma=""זַלְעָפָה"" strong=""H2152"" x-morph=""He,Ncfsa""",119,53, זַלְעָפָ֣ה,,"He,Ncfsa",זַלְעָפָה,H2152,False,H2152,,17925,1,1,19-PSA
17926," \w אֲ֭חָזַתְ⁠נִי|lemma=""אָחַז"" strong=""H0270"" x-morph=""He,Vqp3fs:Sp1cs""",119,53, אֲ֭חָזַתְ⁠נִי,,"He,Vqp3fs:Sp1cs",אָחַז,H0270,False,H0270,,17926,1,1,19-PSA
17927," \w מֵ⁠רְשָׁעִ֑ים|lemma=""רָשָׁע"" strong=""m:H7563"" x-morph=""He,R:Aampa""",119,53, מֵ⁠רְשָׁעִ֑ים,,"He,R:Aampa",רָשָׁע,m:H7563,True,H7563,,17927,1,1,19-PSA
17928," \w עֹ֝זְבֵ֗י|lemma=""עָזַב"" strong=""H5800a"" x-morph=""He,Vqrmpc"" x-tw=""rc://*/tw/dict/bible/other/forsaken""",119,53, עֹ֝זְבֵ֗י,,"He,Vqrmpc",עָזַב,H5800a,False,H5800a,rc://*/tw/dict/bible/other/forsaken,17928,1,1,19-PSA
17929," \w תּוֹרָתֶֽ⁠ךָ|lemma=""תּוֹרָה"" strong=""H8451"" x-morph=""He,Ncfsc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/lawofmoses""",119,53, תּוֹרָתֶֽ⁠ךָ,,"He,Ncfsc:Sp2ms",תּוֹרָה,H8451,False,H8451,rc://*/tw/dict/bible/kt/lawofmoses,17929,1,1,19-PSA
17931,"\w זְ֭מִרוֹת|lemma=""זָמִיר"" strong=""H2158"" x-morph=""He,Ncmpa""",119,54, זְ֭מִרוֹת,,"He,Ncmpa",זָמִיר,H2158,False,H2158,,17931,1,1,19-PSA
17932," \w הָֽיוּ|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3cp""",119,54, הָֽיוּ,,"He,Vqp3cp",הָיָה,H1961,False,H1961,,17932,1,1,19-PSA
17933,"־\w לִ֥⁠י|lemma="""" strong=""l"" x-morph=""He,R:Sp1cs""",119,54, לִ֥⁠י,־,"He,R:Sp1cs",,l,False,,,17933,1,1,19-PSA
17934," \w חֻקֶּ֗י⁠ךָ|lemma=""חֹק"" strong=""H2706"" x-morph=""He,Ncmpc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/other/statute""",119,54, חֻקֶּ֗י⁠ךָ,,"He,Ncmpc:Sp2ms",חֹק,H2706,False,H2706,rc://*/tw/dict/bible/other/statute,17934,1,1,19-PSA
