index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
97," \w ἀπ’|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,5, ἀπ’,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,97,1,1,63-1JN
98," \w αὐτοῦ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3GMS,""",1,5, αὐτοῦ,,"Gr,RP,,,3GMS,",αὐτός,G08460,False,G08460,,98,1,1,63-1JN
99,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,99,3,2,63-1JN
100," \w ἀναγγέλλομεν|lemma=""ἀναγγέλλω"" strong=""G03120"" x-morph=""Gr,V,IPA1,,P,"" x-tw=""rc://*/tw/dict/bible/other/declare""",1,5, ἀναγγέλλομεν,,"Gr,V,IPA1,,P,",ἀναγγέλλω,G03120,False,G03120,rc://*/tw/dict/bible/other/declare,100,1,1,63-1JN
101," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,5, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,101,1,1,63-1JN
102,", \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",1,5, ὅτι,", ","Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,102,1,1,63-1JN
103," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,5, ὁ,,"Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,103,1,1,63-1JN
104," \w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,5, Θεὸς,,"Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,104,1,1,63-1JN
105," \w φῶς|lemma=""φῶς"" strong=""G54570"" x-morph=""Gr,N,,,,,NNS,"" x-tw=""rc://*/tw/dict/bible/other/light""",1,5, φῶς,,"Gr,N,,,,,NNS,",φῶς,G54570,False,G54570,rc://*/tw/dict/bible/other/light,105,1,1,63-1JN
106," \w ἐστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",1,5, ἐστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,106,1,1,63-1JN
