index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
91," \w ἐστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",1,6, ἐστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,91,1,1,57-TIT
92," \w ἀνέγκλητος|lemma=""ἀνέγκλητος"" strong=""G04100"" x-morph=""Gr,NP,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/blameless""",1,6, ἀνέγκλητος,,"Gr,NP,,,,NMS,",ἀνέγκλητος,G04100,False,G04100,rc://*/tw/dict/bible/kt/blameless,92,1,1,57-TIT
93,", \w μιᾶς|lemma=""εἷς"" strong=""G15200"" x-morph=""Gr,EN,,,,GFS,""",1,6, μιᾶς,", ","Gr,EN,,,,GFS,",εἷς,G15200,False,G15200,,93,1,1,57-TIT
94," \w γυναικὸς|lemma=""γυνή"" strong=""G11350"" x-morph=""Gr,N,,,,,GFS,""",1,6, γυναικὸς,,"Gr,N,,,,,GFS,",γυνή,G11350,False,G11350,,94,1,1,57-TIT
95," \w ἀνήρ|lemma=""ἀνήρ"" strong=""G04350"" x-morph=""Gr,N,,,,,NMS,""",1,6, ἀνήρ,,"Gr,N,,,,,NMS,",ἀνήρ,G04350,False,G04350,,95,1,1,57-TIT
96,", \w τέκνα|lemma=""τέκνον"" strong=""G50430"" x-morph=""Gr,N,,,,,ANP,"" x-tw=""rc://*/tw/dict/bible/kt/children""",1,6, τέκνα,", ","Gr,N,,,,,ANP,",τέκνον,G50430,False,G50430,rc://*/tw/dict/bible/kt/children,96,1,1,57-TIT
97," \w ἔχων|lemma=""ἔχω"" strong=""G21920"" x-morph=""Gr,V,PPA,NMS,""",1,6, ἔχων,,"Gr,V,PPA,NMS,",ἔχω,G21920,False,G21920,,97,1,1,57-TIT
98," \w πιστά|lemma=""πιστός"" strong=""G41030"" x-morph=""Gr,NS,,,,ANP,"" x-tw=""rc://*/tw/dict/bible/kt/faithful""",1,6, πιστά,,"Gr,NS,,,,ANP,",πιστός,G41030,False,G41030,rc://*/tw/dict/bible/kt/faithful,98,1,1,57-TIT
99,", \w μὴ|lemma=""μή"" strong=""G33610"" x-morph=""Gr,D,,,,,,,,,""",1,6, μὴ,", ","Gr,D,,,,,,,,,",μή,G33610,False,G33610,,99,1,1,57-TIT
100," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,6, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,100,1,1,57-TIT
101," \w κατηγορίᾳ|lemma=""κατηγορία"" strong=""G27240"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/other/accuse""",1,6, κατηγορίᾳ,,"Gr,N,,,,,DFS,",κατηγορία,G27240,False,G27240,rc://*/tw/dict/bible/other/accuse,101,1,1,57-TIT
