index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
1922,", \w ἐκ|lemma=""ἐκ"" strong=""G15370"" x-morph=""Gr,P,,,,,G,,,""",4,24, ἐκ,", ","Gr,P,,,,,G,,,",ἐκ,G15370,False,G15370,,1922,1,1,46-ROM
1923," \w νεκρῶν|lemma=""νεκρός"" strong=""G34980"" x-morph=""Gr,NS,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/other/death""",4,24, νεκρῶν,,"Gr,NS,,,,GMP,",νεκρός,G34980,False,G34980,rc://*/tw/dict/bible/other/death,1923,1,1,46-ROM
1925,"\w ὃς|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,NMS,""",4,25, ὃς,,"Gr,RR,,,,NMS,",ὅς,G37390,False,G37390,,1925,1,1,46-ROM
1926," \w παρεδόθη|lemma=""παραδίδωμι"" strong=""G38600"" x-morph=""Gr,V,IAP3,,S,""",4,25, παρεδόθη,,"Gr,V,IAP3,,S,",παραδίδωμι,G38600,False,G38600,,1926,1,1,46-ROM
1927," \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,A,,,""",4,25, διὰ,,"Gr,P,,,,,A,,,",διά,G12230,False,G12230,,1927,2,1,46-ROM
1928," \w τὰ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,ANP,""",4,25, τὰ,,"Gr,EA,,,,ANP,",ὁ,G35880,False,G35880,,1928,1,1,46-ROM
1929," \w παραπτώματα|lemma=""παράπτωμα"" strong=""G39000"" x-morph=""Gr,N,,,,,ANP,"" x-tw=""rc://*/tw/dict/bible/kt/trespass""",4,25, παραπτώματα,,"Gr,N,,,,,ANP,",παράπτωμα,G39000,False,G39000,rc://*/tw/dict/bible/kt/trespass,1929,1,1,46-ROM
1930," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",4,25, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,1930,2,1,46-ROM
1931,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",4,25, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1931,1,1,46-ROM
1932," \w ἠγέρθη|lemma=""ἐγείρω"" strong=""G14530"" x-morph=""Gr,V,IAP3,,S,"" x-tw=""rc://*/tw/dict/bible/other/raise""",4,25, ἠγέρθη,,"Gr,V,IAP3,,S,",ἐγείρω,G14530,False,G14530,rc://*/tw/dict/bible/other/raise,1932,1,1,46-ROM
1933," \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,A,,,""",4,25, διὰ,,"Gr,P,,,,,A,,,",διά,G12230,False,G12230,,1933,2,2,46-ROM
1934," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",4,25, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,1934,1,1,46-ROM
1935," \w δικαίωσιν|lemma=""δικαίωσις"" strong=""G13470"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/justice""",4,25, δικαίωσιν,,"Gr,N,,,,,AFS,",δικαίωσις,G13470,False,G13470,rc://*/tw/dict/bible/kt/justice,1935,1,1,46-ROM
1936," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",4,25, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,1936,2,2,46-ROM
1938,"\w δικαιωθέντες|lemma=""δικαιόω"" strong=""G13440"" x-morph=""Gr,V,PAP,NMP,"" x-tw=""rc://*/tw/dict/bible/kt/justice""",5,1, δικαιωθέντες,,"Gr,V,PAP,NMP,",δικαιόω,G13440,False,G13440,rc://*/tw/dict/bible/kt/justice,1938,1,1,46-ROM
1939," \w οὖν|lemma=""οὖν"" strong=""G37670"" x-morph=""Gr,CC,,,,,,,,""",5,1, οὖν,,"Gr,CC,,,,,,,,",οὖν,G37670,False,G37670,,1939,1,1,46-ROM
1940," \w ἐκ|lemma=""ἐκ"" strong=""G15370"" x-morph=""Gr,P,,,,,G,,,""",5,1, ἐκ,,"Gr,P,,,,,G,,,",ἐκ,G15370,False,G15370,,1940,1,1,46-ROM
1941," \w πίστεως|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",5,1, πίστεως,,"Gr,N,,,,,GFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,1941,1,1,46-ROM
1942,", \w εἰρήνην|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",5,1, εἰρήνην,", ","Gr,N,,,,,AFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,1942,1,1,46-ROM
1943," \w ἔχωμεν|lemma=""ἔχω"" strong=""G21920"" x-morph=""Gr,V,SPA1,,P,""",5,1, ἔχωμεν,,"Gr,V,SPA1,,P,",ἔχω,G21920,False,G21920,,1943,1,1,46-ROM
1944," \w πρὸς|lemma=""πρός"" strong=""G43140"" x-morph=""Gr,P,,,,,A,,,""",5,1, πρὸς,,"Gr,P,,,,,A,,,",πρός,G43140,False,G43140,,1944,1,1,46-ROM
1945," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",5,1, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,1945,1,1,46-ROM
1946," \w Θεὸν|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",5,1, Θεὸν,,"Gr,N,,,,,AMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,1946,1,1,46-ROM
1947,", \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",5,1, διὰ,", ","Gr,P,,,,,G,,,",διά,G12230,False,G12230,,1947,1,1,46-ROM
1948," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",5,1, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,1948,1,1,46-ROM
1949," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",5,1, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,1949,1,1,46-ROM
1950," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",5,1, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,1950,1,1,46-ROM
