,token,chapter,verse,book
648,before,2,9,21-ECC
649,me,2,9,21-ECC
650,in,2,9,21-ECC
651,"Jerusalem,",2,9,21-ECC
652,and,2,9,21-ECC
653,my,2,9,21-ECC
654,wisdom,2,9,21-ECC
655,remained,2,9,21-ECC
656,with,2,9,21-ECC
657,me.,2,9,21-ECC
658,\q1,2,9,21-ECC
659,Whatever,2,10,21-ECC
660,my,2,10,21-ECC
661,eyes,2,10,21-ECC
662,"desired,",2,10,21-ECC
663,I,2,10,21-ECC
664,did,2,10,21-ECC
665,not,2,10,21-ECC
666,withhold,2,10,21-ECC
667,from,2,10,21-ECC
668,them.,2,10,21-ECC
669,\q1,2,10,21-ECC
670,I,2,10,21-ECC
671,did,2,10,21-ECC
672,not,2,10,21-ECC
673,withhold,2,10,21-ECC
674,my,2,10,21-ECC
675,heart,2,10,21-ECC
676,from,2,10,21-ECC
677,any,2,10,21-ECC
678,"pleasure,",2,10,21-ECC
679,because,2,10,21-ECC
680,my,2,10,21-ECC
681,heart,2,10,21-ECC
682,rejoiced,2,10,21-ECC
683,in,2,10,21-ECC
684,all,2,10,21-ECC
685,my,2,10,21-ECC
686,labor,2,10,21-ECC
687,and,2,10,21-ECC
688,pleasure,2,10,21-ECC
689,was,2,10,21-ECC
690,my,2,10,21-ECC
691,reward,2,10,21-ECC
692,for,2,10,21-ECC
693,all,2,10,21-ECC
694,my,2,10,21-ECC
695,work.,2,10,21-ECC
696,\q1,2,10,21-ECC
697,Then,2,11,21-ECC
698,I,2,11,21-ECC
699,looked,2,11,21-ECC
700,on,2,11,21-ECC
701,all,2,11,21-ECC
702,the,2,11,21-ECC
703,deeds,2,11,21-ECC
704,that,2,11,21-ECC
705,my,2,11,21-ECC
706,hands,2,11,21-ECC
707,had,2,11,21-ECC
708,"accomplished,",2,11,21-ECC
709,and,2,11,21-ECC
710,on,2,11,21-ECC
711,the,2,11,21-ECC
712,work,2,11,21-ECC
713,that,2,11,21-ECC
714,I,2,11,21-ECC
715,had,2,11,21-ECC
716,"done,",2,11,21-ECC
717,\q1,2,11,21-ECC
718,but,2,11,21-ECC
719,"again,",2,11,21-ECC
720,everything,2,11,21-ECC
721,was,2,11,21-ECC
722,vapor,2,11,21-ECC
723,and,2,11,21-ECC
724,an,2,11,21-ECC
725,attempt,2,11,21-ECC
726,to,2,11,21-ECC
727,shepherd,2,11,21-ECC
728,the,2,11,21-ECC
729,wind.,2,11,21-ECC
730,There,2,11,21-ECC
731,was,2,11,21-ECC
732,no,2,11,21-ECC
733,profit,2,11,21-ECC
734,under,2,11,21-ECC
735,the,2,11,21-ECC
736,sun,2,11,21-ECC
737,in,2,11,21-ECC
738,it.,2,11,21-ECC
739,\q1,2,11,21-ECC
740,Then,2,12,21-ECC
741,I,2,12,21-ECC
742,turned,2,12,21-ECC
743,to,2,12,21-ECC
744,consider,2,12,21-ECC
745,"wisdom,",2,12,21-ECC
746,and,2,12,21-ECC
747,also,2,12,21-ECC
748,madness,2,12,21-ECC
749,and,2,12,21-ECC
750,folly.,2,12,21-ECC
751,\q1,2,12,21-ECC
752,For,2,12,21-ECC
753,what,2,12,21-ECC
754,can,2,12,21-ECC
755,the,2,12,21-ECC
756,next,2,12,21-ECC
757,king,2,12,21-ECC
758,do,2,12,21-ECC
759,who,2,12,21-ECC
760,comes,2,12,21-ECC
761,after,2,12,21-ECC
762,the,2,12,21-ECC
763,"king,",2,12,21-ECC
764,which,2,12,21-ECC
765,has,2,12,21-ECC
766,not,2,12,21-ECC
767,already,2,12,21-ECC
768,been,2,12,21-ECC
769,done?,2,12,21-ECC
