,token,chapter,verse,book
776,some,2,9,03-LEV
777,from,2,9,03-LEV
778,the,2,9,03-LEV
779,grain,2,9,03-LEV
780,offering,2,9,03-LEV
781,as,2,9,03-LEV
782,a,2,9,03-LEV
783,representative,2,9,03-LEV
784,"offering,",2,9,03-LEV
785,and,2,9,03-LEV
786,he,2,9,03-LEV
787,will,2,9,03-LEV
788,burn,2,9,03-LEV
789,it,2,9,03-LEV
790,on,2,9,03-LEV
791,the,2,9,03-LEV
792,altar.,2,9,03-LEV
793,It,2,9,03-LEV
794,will,2,9,03-LEV
795,be,2,9,03-LEV
796,an,2,9,03-LEV
797,offering,2,9,03-LEV
798,made,2,9,03-LEV
799,by,2,9,03-LEV
800,"fire,",2,9,03-LEV
801,and,2,9,03-LEV
802,it,2,9,03-LEV
803,will,2,9,03-LEV
804,produce,2,9,03-LEV
805,a,2,9,03-LEV
806,sweet,2,9,03-LEV
807,aroma,2,9,03-LEV
808,for,2,9,03-LEV
809,Yahweh.,2,9,03-LEV
810,What,2,10,03-LEV
811,is,2,10,03-LEV
812,left,2,10,03-LEV
813,of,2,10,03-LEV
814,the,2,10,03-LEV
815,grain,2,10,03-LEV
816,offering,2,10,03-LEV
817,will,2,10,03-LEV
818,belong,2,10,03-LEV
819,to,2,10,03-LEV
820,Aaron,2,10,03-LEV
821,and,2,10,03-LEV
822,his,2,10,03-LEV
823,sons.,2,10,03-LEV
824,It,2,10,03-LEV
825,is,2,10,03-LEV
826,very,2,10,03-LEV
827,holy,2,10,03-LEV
828,to,2,10,03-LEV
829,Yahweh,2,10,03-LEV
830,from,2,10,03-LEV
831,the,2,10,03-LEV
832,offerings,2,10,03-LEV
833,to,2,10,03-LEV
834,Yahweh,2,10,03-LEV
835,made,2,10,03-LEV
836,by,2,10,03-LEV
837,fire.,2,10,03-LEV
838,\p,2,10,03-LEV
839,No,2,11,03-LEV
840,grain,2,11,03-LEV
841,offering,2,11,03-LEV
842,that,2,11,03-LEV
843,you,2,11,03-LEV
844,offer,2,11,03-LEV
845,to,2,11,03-LEV
846,Yahweh,2,11,03-LEV
847,is,2,11,03-LEV
848,to,2,11,03-LEV
849,be,2,11,03-LEV
850,made,2,11,03-LEV
851,with,2,11,03-LEV
852,"yeast,",2,11,03-LEV
853,for,2,11,03-LEV
854,you,2,11,03-LEV
855,must,2,11,03-LEV
856,burn,2,11,03-LEV
857,no,2,11,03-LEV
858,"leaven,",2,11,03-LEV
859,nor,2,11,03-LEV
860,any,2,11,03-LEV
861,"honey,",2,11,03-LEV
862,as,2,11,03-LEV
863,an,2,11,03-LEV
864,offering,2,11,03-LEV
865,made,2,11,03-LEV
866,by,2,11,03-LEV
867,fire,2,11,03-LEV
868,to,2,11,03-LEV
869,Yahweh.,2,11,03-LEV
870,You,2,12,03-LEV
871,will,2,12,03-LEV
872,offer,2,12,03-LEV
873,them,2,12,03-LEV
874,to,2,12,03-LEV
875,Yahweh,2,12,03-LEV
876,as,2,12,03-LEV
877,an,2,12,03-LEV
878,offering,2,12,03-LEV
879,of,2,12,03-LEV
880,"firstfruits,",2,12,03-LEV
881,but,2,12,03-LEV
882,they,2,12,03-LEV
883,will,2,12,03-LEV
884,not,2,12,03-LEV
885,be,2,12,03-LEV
886,used,2,12,03-LEV
887,to,2,12,03-LEV
888,produce,2,12,03-LEV
889,a,2,12,03-LEV
890,sweet,2,12,03-LEV
891,aroma,2,12,03-LEV
892,on,2,12,03-LEV
893,the,2,12,03-LEV
894,altar.,2,12,03-LEV
895,You,2,13,03-LEV
896,must,2,13,03-LEV
897,season,2,13,03-LEV
898,each,2,13,03-LEV
899,of,2,13,03-LEV
900,your,2,13,03-LEV
901,grain,2,13,03-LEV
902,offerings,2,13,03-LEV
903,with,2,13,03-LEV
904,salt.,2,13,03-LEV
905,You,2,13,03-LEV
906,must,2,13,03-LEV
907,never,2,13,03-LEV
908,allow,2,13,03-LEV
909,the,2,13,03-LEV
910,salt,2,13,03-LEV
911,of,2,13,03-LEV
912,the,2,13,03-LEV
913,covenant,2,13,03-LEV
914,of,2,13,03-LEV
915,your,2,13,03-LEV
916,God,2,13,03-LEV
917,to,2,13,03-LEV
918,be,2,13,03-LEV
919,missing,2,13,03-LEV
920,from,2,13,03-LEV
921,your,2,13,03-LEV
922,grain,2,13,03-LEV
923,offering.,2,13,03-LEV
924,With,2,13,03-LEV
925,all,2,13,03-LEV
926,your,2,13,03-LEV
927,offerings,2,13,03-LEV
928,you,2,13,03-LEV
929,must,2,13,03-LEV
930,offer,2,13,03-LEV
931,salt.,2,13,03-LEV
932,\p,2,13,03-LEV
933,If,2,14,03-LEV
934,you,2,14,03-LEV
935,offer,2,14,03-LEV
936,a,2,14,03-LEV
937,grain,2,14,03-LEV
938,offering,2,14,03-LEV
939,of,2,14,03-LEV
